stop_id,route_id,route_short_name,delay_min,hour_of_day,day_of_week,is_weekend,is_peak_hour,status,temperature_c,precipitation_mm,wind_speed_kmh,weather_code,is_raining,weather_category
1_57804,1_100072,181,-3.02,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_72050,1_100136,245,-4.08,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_65092,1_100162,271,-3.03,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_29423,1_102732,79,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_52306,1_102719,161,-27.38,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_11940,1_100039,14,1.07,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_49724,1_100031,132,-0.23,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_280,1_100104,212,5.2,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_22196,1_102736,H Line,-1.88,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_2850,1_100089,2,-7.12,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_30510,1_100249,60,11.07,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_481,1_102576,C Line,3.23,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_12170,1_100039,14,4.1,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_9030,1_100263,7,-1.27,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_18230,1_100184,31,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_71970,1_102753,222,-1.32,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_10912,1_100264,70,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_18220,1_100028,13,-5.53,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_52081,1_102736,H Line,3.77,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_8403,1_100039,14,2.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_620,40_100236,545,-0.57,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_7690,1_102615,E Line,-4.73,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_60710,1_100512,A Line,-0.47,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_49572,1_100026,128,-2.25,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_12770,1_100228,48,-0.3,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_30790,1_100249,60,-4.23,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_320,40_100239,550,0.75,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_64569,1_100099,208,5.15,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_81205,1_100072,181,-2.77,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_575,1_100210,36,-6.23,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_69430,1_102704,250,7.63,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_46505,1_102619,F Line,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_99254,1_100045,150,3.77,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_58342,1_100072,181,4.13,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_60428,1_100045,150,-0.92,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_59872,1_102619,F Line,2.33,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_72391,1_100136,245,-1.65,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_10912,1_100224,44,0.6,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_76310,40_100232,522,3.28,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_76310,1_100214,372,2.15,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_2200,1_100001,1,2.9,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_970,1_100003,101,8.9,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
1_72494,1_100160,269,0.0,18.0,0.0,0,1,default,8.1,0.0,6.5,3,0,dry
